;link;title;description;price;location;typeflat;img
79;https://www.spareroom.co.uk/flatshare/london/tooting_bec/16006020;Tooting Bec Garden House Has Room  to Let ;"
	

REASONABLE SIZE OF ROOM IN WHICH DOUBLE BED IS GIVEN.

HOUSE IS LOCATED THREE MINUTES OFF TOOTING BEC NORTHERN LINE UNDERGROUND STATION AND HIGH...";£580pcm;Tooting Bec (SW17);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/83/02/83020322.jpg
80;https://www.spareroom.co.uk/flatshare/west_midlands/birmingham_city_centre/16339058;Double Room in The Mailbox Apartment;"
	

Double room for single occupancy in luxury duplex Apartment at The Mailbox, to share with two other males. Large open plan lounge, with 50” t. v., ...";£725pcm;Birmingham City Centre (B1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344764.jpg
81;https://www.spareroom.co.uk/flatshare/west_yorkshire/leeds/10742641;Modern rooms - close to City Centre & Universities;"
	

£395pcm (Inc: Council Tax, Gas, Electric, Water, TV Licence & Wi-Fi) ** 

Stunning double room in this lovely modern house share on Hartley Grove...";£395pcm;Leeds (LS6);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/48/92/48923680.jpg
82;https://www.spareroom.co.uk/flatshare/buckinghamshire/high_wycombe/16339052;Double room to rent in Wycombe;"
	

I have an offer accepted on a 2 bed flat (rental). The holding deposit is paid for and excluding bills the flat is £600 pcm each. 

The flat is in...";£600pcm;High Wycombe (HP13);Double room;no image
83;https://www.spareroom.co.uk/flatshare/west_midlands/birmingham/16339051;B9 - Emergency Accommodation available ;"
	

**********BENEFITS / DSS TENANTS *********

SUPPORTED ACCOMMODATION ROOMS AVAILABLE.

We provide accommodation and support to communities and...";£10pw;Birmingham (B9);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344477.jpg
84;https://www.spareroom.co.uk/flatshare/west_yorkshire/leeds/10734976;HUGE double rooms in this modern shared house;"
	

£380-435pcm (inc Council Tax, Gas, Electric, Water, TV Licence & Wi-Fi) ** 

Stunning double rooms in this lovely modern house share on High Cliffe...";£435pcm;Leeds (LS4);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/48/87/48873487.jpg
85;https://www.spareroom.co.uk/flatshare/london/aldgate/15619900;Amazing Double Room Aldgate 980 All Bills Inclided;"
	

HELLO EVERYONE!!

AMAZING OPPORTUNITY 

DOUBLE ROOM IN A 3 BED FLAT 

SHARED WITH 2 OTHER PEOPLE ONLY 

MINIMUN STAY UNTIL MID JAN 

THE...";£980pcm;Aldgate (E1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/80/52/80525119.jpg
86;https://www.spareroom.co.uk/flatshare/devon/exeter/16339029;Double room available in a friendly house;"
	

The room:

Double room available on the first floor of a lovely, friendly house in Heavitree, Exeter. The room is partially furnished with a bed and...";£450pcm;Exeter (EX1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344372.jpg
87;https://www.spareroom.co.uk/flatshare/london/acton/16120517;Double room with fitted cupboards;"
	

big room with bay window and fitted cupboards in house with garden . There are
2toilets with  sinks and a bath: with shower.  . Conservatory /living...";£850pcm;Acton (W3);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/83/77/83776174.jpg
88;https://www.spareroom.co.uk/flatshare/bedfordshire/luton/16339027;Brand New Flatshare in Town Centre;"
	

***STUNNING MODERN FLAT-SHARE IN TOWN CENTRE***

*****4 BED APARTMENT****

premier-living are proud to present these BRAND NEW modern en-suited...";£600pcm;Luton (LU1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344157.jpg
89;https://www.spareroom.co.uk/flatshare/derbyshire/derby/14519863;Recently Refurbished Value for money House Share ;"
	

A lovely new house share which has been recently refurbished
Property is gas central heated and double glazed
Excellent location with good transport...";£350pcm;Derby (DE24);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/80/16/80161850.jpg
90;https://www.spareroom.co.uk/flatshare/west_midlands/edgbaston/16339009;** Beautiful Large Rooms Edgbaston No Bills to Pay;"
	

* NO BILLS TO PAY!
* Beautiful property in the heart of leafy Edgbaston - Highly desirable!
* Near Five Ways, Morrisons, TGI Fridays, and many...";£575- £699pcm;Edgbaston (B16);6 doubles;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344235.jpg
91;https://www.spareroom.co.uk/flatshare/london/canary_wharf/16339006;Lovely Single & Double Room Available Near CanaryW;"
	

I am delighted to offer a  lovely Single & a double Room for rent. An excellent flat share, which is located near tube in a quiet residential road...";£600- £720pcm;Canary Wharf (E14);Single + double;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344233.jpg
92;https://www.spareroom.co.uk/flatshare/london/bermondsey/16338988;Modern double room available in South Bermondsey ;"
	

Borderline welling up at writing this, but sadly I’m moving on from my current room and I’m looking for someone amazing to replace me. Available...";£975pcm;Bermondsey (SE16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344054.jpg
93;https://www.spareroom.co.uk/flatshare/london/abbey_wood/3550222;Huge EnSuite Loft Room;"
	

****all bills inclusive****

New to the market - a great house with a large luxury loft room available with own private bathroom

- large kitchen...";£900pcm;Abbey Wood (SE2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/79/67/7967312.jpg
94;https://www.spareroom.co.uk/flatshare/avon/bristol/16338980;Double room near temple meads - all Bills included;"
	

Double room available in 2 bedroom flat. Situated just 4 min walk from temple meads train station and close to old market. occasionally Sharing flat...";£873pcm;Bristol (BS2);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344013.jpg
95;https://www.spareroom.co.uk/flatshare/devon/plymouth/3555947;Double En suite student rooms incl bills & wi fi;"
	

One very large double room with full ensuite & own sofa available inclusive bills & internet & three times a week communal cleaning.

All rooms are...";£110pw;Plymouth (PL4);Double room;no image
96;https://www.spareroom.co.uk/flatshare/london/shoreditch/16338979;Double Room in Shoreditch;"
	

Double room in Shoreditch, in a house with 4 others. Need bank statements and payslips. 
Deposit 740 and bills not included
Looking for someone lgbt...";£740pcm;Shoreditch (N1);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85344240.jpg
97;https://www.spareroom.co.uk/flatshare/london/surrey_quays/16338976;Amazing Room Near Surrey Quays !!;"
	

COOL & HUGE room in TRENDY house few minutes to Bermondsey station which provides easy quick access to BANK, Canary Wharf or to the CITY CENTRE and...";£260pw;Surrey Quays (SE16);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85343968.jpg
98;https://www.spareroom.co.uk/flatshare/london/palmers_green/5112439;Double room available ;"
	

Room is ready to move in! Would suit a quiet, considerate, clean, non-smoking professional MALE who comes home to relax. 


LOCATION & PUBLIC...";£700pcm;Palmers Green (N13);Double room;//photos2.spareroom.co.uk/images/flatshare/listings/cw100h100/85/34/85343942.jpg
99;https://www.spareroom.co.uk/flatshare/oxfordshire/oxford/16338970;Two Beautiful and Spacious rooms for rent;"
	

I am looking for a professional or mature student to join us in our friendly, non-smoking house share. The current housemates are all professionals...";£475- £550pcm;Oxford (OX4);2 doubles;no image
